appno,pubdate,pubnum,title,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
14012236,20140102,20140000251,SYSTEMS AND METHODS FOR EFFICIENT TWO-PHASE HEAT TRANSFER IN COMPRESSED-AIR ENERGY STORAGE SYSTEMS,"In various embodiments, foam is compressed to store energy and/or expanded to recover energy.",[Troy O. McBride][Benjamin R. Bollinger][Jon Bessette][Alexander Bell][Dax Kepshire][Arne LaVen][Adam Rauwerdink],"","This application claims the benefit of and priority to U.S. Provisional Patent Application No. 61/486,937, filed May 17, 2011, U.S. Provisional Patent Application No. 61/489,762, filed May 25, 2011, U.S. Provisional Patent Application No. 61/512,981, filed Jul. 29, 2011, U.S. Provisional Patent Application No. 61/569,528, filed Dec. 12, 2011, U.S. Provisional Patent Application No. 61/601,641, filed Feb. 22, 2012, and U.S. Provisional Patent Application No. 61/620,018, filed Apr. 4, 2012. The entire disclosure of each of these applications is hereby incorporated herein by reference.",20130828,This invention was made with government support under IIP-0923633 awarded by the NSF and DE-OE0000231 awarded by the DOE. The government has certain rights in the invention.,13755636,14012236,"",""
14016007,20140102,20140001146,METHODS AND SYSTEMS FOR USING ACTUATED SURFACE-ATTACHED POSTS FOR BIOFLUID RHEOLOGY,"Methods, systems, and computer readable media for using actuated surface-attached posts for assessing biofluid rheology are disclosed. According to one aspect, a method for testing properties of a biofluid specimen includes placing the specimen onto a micropost array having a plurality of microposts extending outwards from a substrate, wherein each micropost includes a proximal end attached to the substrate and a distal end opposite the proximal end, and generating an actuation force in proximity to the micropost array to actuate the microposts, thereby compelling at least some of the microposts to exhibit motion. The method further includes measuring the motion of at least one of the microposts in response to the actuation force and determining a property of the specimen based on the measured motion of the at least one micropost.",[Richard Superfine][Richard Chasen Spero][Adam Richard Shields][Benjamin Aaron Evans][Briana Lee Fiser],[THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL],"This application is a divisional of U.S. patent application Ser. No. 13/380,564, filed Mar. 2, 2012, which is a national stage application under 35 U.S.C. &#xA7;371 of PCT Patent Application No. PCT/US2010/040011 filed Jun. 25, 2010, which claims the benefit of U.S. Provisional Patent Application Ser. No. 61/220,563, filed Jun. 25, 2009; and which claims the benefit of U.S. Provisional Patent Application Ser. No. 61/234,177, filed Aug. 14, 2009; the disclosure of each of which is incorporated herein by reference in its entirety.",20130830,This invention was made with government support under Grant No. CMS-0507151 awarded by the National Science Foundation and Grant No. EB002025 awarded by the National Institutes of Health. The government has certain rights in the invention.,13380564,14016007,"",""
14015192,20140102,20140001437,JOINED NANOSTRUCTURES AND METHODS THEREFOR,"Nanostructures are joined using one or more of a variety of materials and approaches. As consistent with various example embodiments, two or more nanostructures are joined at a junction between the nanostructures. The nanostructures may touch or be nearly touching at the junction, and a joining material is deposited and nucleates at the junction to couple the nanostructures together. In various applications, the nucleated joining material facilitates conductivity (thermal and/or electric) between the nanostructures. In some embodiments, the joining material further enhances conductivity of the nanostructures themselves, such as by growing along the nanostructures and/or doping the nanostructures.",[Melburne C. LeMieux][Ajay Virkar][Zhenan Bao],[The Board of Trustees of the Leland Stanford Junior University],"This patent document is a divisional under 35 U.S.C. &#xA7;120 of U.S. patent application Ser. No. 13/011,352 filed on Jan. 21, 2011 (U.S. Pat. No. 8,524,525), which claims benefit under 35 U.S.C. &#xA7;119 to U.S. Provisional Patent Application Ser. No. 61/298,035, entitled &#x201C;Nanostructures&#x201D; and filed with an Appendix on Jan. 25, 2010, and to U.S. Provisional Patent Application Ser. No. 61/298,043, entitled &#x201C;Fullerene-Doped Nanostructures&#x201D; and also filed on Jan. 25, 2010; each of these patent documents is fully incorporated herein by reference.",20130830,This invention was made with Government support under contracts HM1582-07-1-2009 awarded by the National Geospatial-Intelligence Agency and 0213618 awarded by the National Science Foundation. The U.S. Government has certain rights in this invention.,13011352,14015192,"",""
13929028,20140102,20140001455,Spectrally Tunable Broadband Organic Photodetectors,"A photodetector device includes multiple organic photodetector subcells arranged in a stack, each organic photodetector subcell being configured to generate an electrical current in response to absorbing light over a corresponding range of wavelengths, in which each organic photodetector subcell includes at least one electron donor material and at least one electron acceptor material.",[Russell J. Holmes][Richa Pandey][Stephen Matt Menke],"","This application claims priority to U.S. Provisional Application No. 61/665,153, filed Jun. 27, 2012, which is incorporated by reference in its entirety.",20130627,"This invention was made with Government support under DMR-0819885, awarded by the National Science Foundation. The Government has certain rights in the invention.","","","",""
13646068,20140102,20140003338,COHERENT TRANSMISSION FROM DISTRIBUTED WIRELESS TRANSMITTERS USING LEGACY RECEIVERS,"A distributed wireless communication system includes multiple access points, each with one or more antennas. The access points do not necessarily have synchronized transmitting and receiving radio frequency oscillators. Approaches to channel estimation between the access points and one or more wireless clients account for the lack of synchronization, and do not necessarily require capabilities at the clients that go beyond required or optional features of standard wireless Ethernet (e.g., 802.11n, 802.11g, or 802.11a), thereby supporting “legacy” clients while supporting high data throughput approaches that provide coherent transmission from the multiple antenna of the access points.",[Hariharan Shankar Rahul][Swarun Suresh Kumar][Dina Katabi],[Massachusetts Institute of Technology],"This application claims the benefit of U.S. Provisional Application 61/665,406, filed on Jun. 28, 2012, (Attorney Docket 70009-D20P01; Client Case 15484) the contents of which are incorporated herein by reference.This application is related to, but does not claim priority to, U.S. Provisional Application 61/543,832, filed on Oct. 6, 2011, (Attorney Docket 70009-D13P01; Client Case 14965) the contents of which are incorporated herein by reference.",20121005,This invention was made with Government support under Grant No. CNS-0831660 awarded by the National Science Foundation (NSF). The Government has certain rights in this invention.,"","","",""
13878956,20140102,20140004043,CRYPTOPHANE DERIVATIVES AND METHODS OF USE THEREOF,"The present invention relates to the cryptophane derivatives of formula (I) capable of encapsulating small molecules such as noble gases for biological and environmental use. In particular, the invention relates to cryptophane derivatives with high affinity for xenon, which can be used as biosensors in clinical imaging. ",[Kevin Holman],[Georgetown Univeristy],"This application claims priority to U.S. Provisional Application No. 61/392,226, filed Oct. 12, 2010, the disclosure of which is hereby incorporated by reference herein.",20111012,"This invention was made in part with government support under grant number DMR-034916, awarded by the U.S. National Science Foundation. The government has certain rights to this invention.","","",20130923,PCT/US11/55993
13939367,20140102,20140004047,"Methods, compositions and kits for modulating trans-differentiation of muscle satellite cells","Compositions, methods and kits are provided for modulating the trans-differentiation of cells for example muscle satellite cells. The compositions, methods and kits include a modulator of trans-differentiation of the muscle satellite cells selected from the group of: a transcription factor, a nucleic acid sequence or vector encoding expression of the transcription factor, and an agent that binds to the transcription factor. The transcription factor is selected for example from a homeodomain class transcription factor such as Nkx3.2 and a TATA binding protein class transcription factor such as Sox9, and includes at least one nucleotide binding-domain, so that the transcription factor modulates the process of trans-differentiation of the cells or tissue to form a phenotype selected from: cartilage, muscle, and bone.",[Li Zeng][Dana M. Cairns],"","This application is a U.S. continuation of international application number PCT/US12/20933 filed Jan. 11, 2012 which claims the benefit of and priority to U.S. provisional application Ser. No. 61/431,708 filed Jan. 11, 2011, titled &#x201C;Methods, compositions and kits for modulating trans-differentiation of muscle satellite cells&#x201D;, inventors Li Zeng and Dana M. Cairns, each of which is hereby incorporated herein by reference in their entireties.",20130711,"This invention was made with government support under grant numbers 1R03AR054611 and 1R01AR059106-01A1 awarded by the National Institutes of Health, and CBET-0966920 and CBET-0966920 awarded by the National Science Foundation. The government has certain rights in the invention.",PCT/US12/20933,13939367,"",""
13899126,20140102,20140004194,HIGHLY STABLE COLLOID FROM AQUEOUS SOLUTIONS OF SMALL ORGANIC MOLECULES,The present invention is related to a mesoscale colloidal particle including a hydrophobe-rich core surrounded by hydrogen bonded outer shell. The outer shell includes water and at least one hydrotrope wherein the hydrotrope molecules form hydrogen bonds with water molecules. The invention is also related to an aqueous solution including at least one mesoscale colloidal particle as well as methods of making and using such mesoscale colloidal particles and their solutions.,[Deepa SUBRAMANIAN][Mikhail A. ANISIMOV],[University of Maryland],"This application claims the benefit of U.S. Provisional Patent Application Ser. No. 61/649,755, filed May 21, 2012, which is hereby incorporated by reference in its entirety.",20130521,The subject matter of this application was made with support from United States Government under Grant Number CHE-1012052 awarded by the National Science Foundation. The U.S. government has certain rights in the invention.,"","","",""
13920553,20140102,20140004204,BIOCOMPATIBLE POLYACRYLATE COMPOSITIONS AND METHODS OF USE,A biocompatible polymer material is described that exhibits mechanical and physical properties that are fundamental to many medical devices and treatment of many medical diseases and disorders. The material is composed of a combination of acrylate monomers polymerized via a microemulsion polymerization. Multiple applications of the polymer material are presented.,[KERRIANN ROBYN GREENHALGH][EDWARD TUROS],"","The present application is a continuation of International Application No. PCT/US2013/030848, filed Mar. 13, 2013, which claims the benefit of U.S. Provisional Application Ser. No. 61/666,564, filed Jun. 29, 2012, each of which is hereby incorporated by reference herein in its entirety, including any figures, tables, nucleic acid sequences, amino acid sequences, and drawings.",20130618,This invention was made with government support under grant number R01 AI 51351 awarded by the National Institutes of Health and grant number NSF 0419903 awarded by the National Science Foundation. The government has certain rights in the invention.,PCT/US2013/030848,13920553,"",""
14003642,20140102,20140004275,MAGNETICALLY RESPONSIVE PHOTONIC NANOCHAINS,Magnetically responsive photonic nanochains that have been produced by inducing chaining of uniform magnetic particles during their silica coating process and then allowing additional deposited silica to wrap entire structures. The optical diffraction of these nanochains can be switched on and off by applying magnetic fields.,[Yadong Yin][Yongxing Hu][Le He],[The Regents of the University of California],"",20120307,"This invention was made with Government support under Grant No. DMR0956081, awarded by the National Science Foundation, and Grant No. W911NF-10-1-0484, awarded by the Army/ARO. The Government has certain rights in this invention.","","",20130919,PCT/US2012/027977
