patentno,patpubdate,title,appno,priorpub,priorpubdate,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
08621954,20140107,Systems and methods for gravity compensation,13153614,"","","Disclosed herein are systems and methods that may compensate for the effect of gravity on certain haptic devices, such as haptic-robot devices. An example embodiment of the disclosed systems and methods may take the form of a gravity-compensation system that includes (a) a carriage coupled to a rod having a first axis, wherein the carriage is configured to move along the first axis, (b) a displacement mechanism coupled to the carriage, wherein the displacement mechanism is configured to move the carriage along the first axis of the rod based on a displacement of an extendable arm along the first axis, and (c) a restorative-force mechanism configured to exert, on the carriage, a restorative force that acts along a second axis. The gravity-compensation system acts in a primarily passive manner, helping to ensure the safety of users at the point of human-robot interaction (pHRI).",[Brian Dellon][Yoky Matsuoka],[University of Washington Through Its Center for Commercialization],"This application claims priority to U.S. Provisional Patent Application Ser. No. 61/351,397 filed Jun. 4, 2010, entitled Method of Gravity Compensation, which is incorporated herein in its entirety.",20110606,This invention was made with U.S. Government support under grant number 0238204 awarded by the National Science Foundation. The U.S. Government has certain rights in the invention.,"","","",""
08622987,20140107,"Chemistrode, a plug-based microfluidic device and method for stimulation and sampling with high temporal, spatial, and chemical resolution",12737058,20110112503,20110512,A method for sampling and/or introducing a matter to an environment comprises introducing a first array of plugs through a first microchannel of a device into an exchange region of the device in which mass transport between the environment and the plug fluid of at least one plug in the first array of plugs occurs and a second array of plugs is formed. The exchange region is in fluid communication with the first microchannel. The method further comprises directing the second array of plugs into a second microchannel downstream of and in fluid communication with the exchange region.,[Rustem F. Ismagilov][Delai Chen][Weishan Liu][Wenbin Du],[The University of Chicago],"This application is the national phase application of PCT Application No. PCT/US2009/046255, filed Jun. 4, 2009, which claims priority to U.S. Provisional patent application Ser. No. 61/130,930, filed Jun. 4, 2008, the entireties of both of which is are hereby incorporated by reference.The following are hereby incorporated by reference in their entireties for descriptions of uses, applications, and techniques for plug-based methods of analysis, manipulation of plugs, fluid handling, sorting of plugs, device materials, compositions, manufacturing techniques and the use and formation of holding components and loading components:  ",20090604,"This invention was made with government support under grant number 0526693 awarded by the National Science Foundation (NSF), grant number EB001903 awarded by the National Institutes of Health, and grant number OD003584 awarded by the National Institutes of Health. The government has certain rights in the invention.","","",20101222,PCT/US2009/046255
08623192,20140107,High resolution focusing and separation of proteins in nanofluidic channels,13125096,20110192724,20110811,"Exemplary embodiments provide systems and methods for concentrating, focusing and/or separating proteins using nanofluidic channels and/or their arrays. In embodiments, low-abundance proteins can be focused and separated with high resolution using separation techniques including isoelectric focusing (IEF), and/or dynamic field gradient focusing (DFGF) in combination with nanofluidic channels and/or multi-gate nanofluidic field-effect-transistors (FETs).",[Sang M. Han][Youn-Jin Oh][Cornelius Ivory],[STC.UNM],"This application claims priority from U.S. Provisional Patent Application Ser. No. 61/106,848, filed Oct. 20, 2008, which is hereby incorporated by reference in its entirety.",20091020,This invention was made with Government support under Contract No. CTS-0404124 awarded by the National Science Foundation. The U.S. Government has certain rights in this invention.,"","",20110420,PCT/US2009/061314
08623196,20140107,Nanostructured biosensor containing neuropathy target esterase activity,12121389,20120160708,20120628,"The present invention provides compositions, devices and methods for detecting esterase activity. The present invention also provides devices and methods of detecting esterase inhibitors, for example, organophosphates. In particular, the present invention provides a biosensor comprising Neuropathy Target Esterase (NTE) polypeptides. Further, the present invention relates to medicine, industrial chemistry, agriculture, and homeland security.",[Neeraj Kohli][Devesh Srivastava][Rudy J. Richardson][Jun Sun][Ilsoon Lee][Robert M. Worden],[Michigan State University][The Regents of the University of Michigan],"This application claims the benefit of priority to U.S. Provisional Patent Application Ser. No. 60/930,465, filed on May 16, 2007, which is herein incorporated by reference in its entirety.",20080515,This invention was made with government support from the United States National Science Foundation grant number CTS-0609164 and the United States Army (DAAD19-02-1-0388). The United States Government has certain rights in the invention.,"","","",""
08623279,20140107,Ionic liquid mediated sol-gel sorbents,13300943,20120128551,20120524,"Ionic liquid (IL)-mediated sol-gel hybrid organic-inorganic materials present enormous potential for effective use in analytical microextraction. One obstacle to materializing this prospect arises from high viscosity of ILs significantly slowing down sol-gel reactions. A method was developed which provides phosphonium-based, pyridinium-based, and imidazolium-based IL-mediated advanced sol-gel organic-inorganic hybrid materials for capillary microextraction. Scanning electron microscopy results demonstrate that ILs can serve as porogenic agents in sol-gel reactions. IL-mediated sol-gel coatings prepared with silanol-terminated polymers provided up to 28 times higher extractions compared to analogous sol-gel coatings prepared without any IL in the sol solution. This study shows that IL-generated porous morphology alone is not enough to provide effective extraction media: careful choice of the organic polymer and the precursor with close sol-gel reactivity must be made to ensure effective chemical bonding of the organic polymer to the created sol-gel material to be able to provide the desired sorbent characteristics.",[Abdul Malik][Anne M. Shearrow],[University of South Florida],"This application is a continuation of prior filed International Application, Serial Number PCT US2010 035797 filed May 21, 2010, which claims priority to U.S. provisional patent application No. 61/180,274 filed May 21, 2009 which is hereby incorporated by reference into this disclosure.",20111121,This invention was made with government support under Grant No. DGE-0221681 awarded by the National Science Foundation and Grant No. DE-AC05-000R22750 awarded by the Department of Homeland Security. The government has certain rights in the invention.,PCT/US2010/035797,13300943,"",""
08623451,20140107,Large-scale lateral nanowire arrays nanogenerators,12943499,20110107569,20110512,"In a method of making a generating device, a plurality of spaced apart elongated seed members are deposited onto a surface of a flexible non-conductive substrate. An elongated conductive layer is applied to a top surface and a first side of each seed member, thereby leaving an exposed second side opposite the first side. A plurality of elongated piezoelectric nanostructures is grown laterally from the second side of each seed layer. A second conductive material is deposited onto the substrate adjacent each elongated first conductive layer so as to be coupled the distal end of each of the plurality of elongated piezoelectric nanostructures. The second conductive material is selected so as to form a Schottky barrier between the second conductive material and the distal end of each of the plurality of elongated piezoelectric nanostructures and so as to form an electrical contact with the first conductive layer.",[Zhong L. Wang][Chen Xu][Yong Qin][Guang Zhu][Rusen Yang][Youfan Hu][Yan Zhang],[Georgia Tech Research Corporation],"This application claims the benefit of U.S. Provisional Patent Application Ser. No. 61/259,806, filed Nov. 10, 2009, the entirety of which is hereby incorporated herein by reference. This application also claims the benefit of U.S. Provisional Patent Application Ser. No. 61/348,909, filed May 27, 2010, the entirety of which is hereby incorporated herein by reference. This application also claims the benefit of U.S. Provisional Patent Application Ser. No. 61/362,066, filed Jul. 7, 2010, the entirety of which is hereby incorporated herein by reference.",20101110,"This invention was made with government support under contract No. DE-FG02-07ER46394, awarded by the Department of Energy and under contract No. DMI-0403671 awarded by the National Science Foundation. The government has certain rights in the invention.","","","",""
08623491,20140107,Ultrathin magnesium nanoblades,13617249,20130065753,20130314,A nanostructure includes a plurality of metal nanoblades positioned with one edge on a substrate. Each of the plurality of metal nanoblades has a large surface area to mass ratio and a width smaller than a length. A method of storing hydrogen includes coating a plurality of magnesium nanoblades with a hydrogen storage catalyst and storing hydrogen by chemically forming magnesium hydride with the plurality of magnesium nanoblades.,[Toh-Ming Lu][Gwo-Ching Wang][Fu Tang][Thomas Parker],[Rensselaer Polytechnic Institute],"This application is a Divisional of U.S. application Ser. No. 12/594,047, filed Apr. 19, 2010, which claims benefit of priority to U.S. Application Ser. No. 60/921,329, filed on Apr. 2, 2007 and are incorporated herein by reference in their entirety.",20120914,This invention was made with Government support under contract number 0506738 awarded by the National Science Foundation. The Government has certain rights in the invention.,12594047,13617249,"",""
08623493,20140107,Fabrication of complex three-dimensional structures based on directed assembly of self-assembling materials on activated two-dimensional templates,13436341,20120189824,20120726,"Methods of fabricating complex three-dimensional structures on patterned substrates and related compositions are provided. The methods involve depositing on the substrate a block copolymer material that is “mismatched” to the substrate pattern, and then ordering the material to form a complex three-dimensional structure. According to various embodiments, the copolymer material mismatches the substrate pattern in that the symmetry and/or length scale of its bulk morphology differs from that of the pattern. When ordered, a balance between the physics that determines the bulk block copolymer morphology and the physics that determines the substrate surface interfacial interactions results in a thermodynamically stable complex three-dimensional film that varies in a direction perpendicular to the substrate and has a morphology that differs from its bulk morphology.",[Paul Franklin Nealey][Mark Petar Stoykovich][Konstantinos C. Daoulas][Marcus Muller][Juan J. De Pablo][SangMin Park],[Wisconsin Alumni Research Foundation],"This application is a continuation of U.S. application Ser. No. 11/545,060, filed Oct. 5, 2006, titled &#x201C;FABRICATION OF COMPLEX THREE-DIMENSIONAL STRUCTURES BASED ON DIRECTED ASSEMBLY OF SELF-ASSEMBLING MATERIALS ON ACTIVATED TWO-DIMENSIONAL TEMPLATES,&#x201D; which claims the benefit under 35 USC &#xA7;119(e) of U.S. Provisional Application No. 60/724,554, filed Oct. 6, 2005, titled &#x201C;FABRICATION OF COMPLEX THREE-DIMENSIONAL STRUCTURES BASED ON DIRECTED ASSEMBLY OF SELF-ASSEMBLING MATERIALS ON ACTIVATED TWO-DIMENSIONAL TEMPLATES,&#x201D; and U.S. Provisional Application No. 60/761,863, filed Jan. 24, 2006, titled &#x201C;FABRICATION OF COMPLEX THREE-DIMENSIONAL STRUCTURES BASED ON DIRECTED ASSEMBLY OF SELF-ASSEMBLING MATERIALS ON ACTIVATED TWO-DIMENSIONAL TEMPLATES.&#x201D; These applications are hereby incorporated by reference in their entireties and for all purposes.",20120330,This invention was made with United States government support awarded by the following agency: NSF 0425880. The United States government has certain rights in this invention.,11545060,13436341,"",""
08623496,20140107,Laser drilling technique for creating nanoscale holes,12614237,20110111179,20110512,"A method of forming extremely small pores in a substrate that is used, for example, in patch clamp applications is provided that employs an energy absorbing material beyond a back side of the substrate to allow a laser to be focused adjacent the exit side of the substrate so as to generate a pore through the substrate and can also form a crater in the back side of the substrate and in which the pore may propagate from the crater in a drilling direction that can oppose a laser transmission direction.",[Robert H. Blick][Minrui Yu],[Wisconsin Alumni Research Foundation],"",20091106,This invention was made with United States government support awarded by the following agency: NSF 0520527. The United States government has certain rights in this invention.,"","","",""
08624006,20140107,One-pot synthesis of alpha/beta--glycolipids,12595214,20110251378,20111013,"The present invention provides a one-pot method of preparing an unprotected α-O-glycolipid. The first step involves contacting a protected α-iodo sugar with a catalyst and a lipid comprising a hydroxy group, under conditions sufficient to prepare a protected α-O-glycolipid. The second step involves deprotecting the protected α-O-glycolipid under conditions sufficient to prepare the unprotected α-O-glycolipid, wherein the contacting and deprotecting steps are performed in a single vessel. The present invention also provides a one-pot method of preparing an unprotected β-O-glycolipid following the steps for the preparation of the unprotected α-O-glycolipid.",[Jacquelyn Gervay-Hague][Wenjun Du][Suvarn S. Kulkarni][Matthew Schombs],[The Regents of the University of California],"This application is the U.S. National Stage entry under &#xA7;371 of International Application No. PCT/US2008/059666, filed Apr. 8,2008, which claims priority to U.S. Provisional Application No. 60/910,728, filed Apr. 9, 2007, and each is incorporated herein by reference in its entirety.",20080408,"This invention was made with government support under Grant Nos. CHE-0210807 and OSTI 97-24412 awarded by the National Science Foundation, and Grant Nos. 5R21GM075093-02 and 1R21GM075093-01 awarded by the National Institute of Health. The government has certain rights in the invention","","",20100423,PCT/US2008/059666
